score,title,company,location,countries,posted,url,source,department,contract_type,matched,first_seen,flags
48,Process Automation System SME,Wood,Saudi Arabia,Saudi Arabia,2026-08-17,https://ehif.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/31451,wood,,,Saudi Arabia,2026-08-21 07:51:25,
48,ED IV/ Senior Telecommunication Designer,Wood,"Al-Khobar, Saudi Arabia",Saudi Arabia,2026-08-17,https://ehif.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/31566,wood,,,Saudi Arabia,2026-08-21 07:51:25,
48,Coordinator (Pos. 3.1.12),Kintec Global,Middle East,Qatar,2026-08-17,https://www.kintecglobal.com/job/coordinator-pos-3112/,kintec,,,Qatar,2026-08-21 08:57:56,
48,Coordinator,Kintec Global,Middle East,Qatar,2026-08-17,https://www.kintecglobal.com/job/coordinator/,kintec,,,Qatar,2026-08-21 08:57:56,
48,Geologist– SMP with Saudi Aramco,NES Fircroft,Saudi Arabia Dhahran,Saudi Arabia,2026-08-17,https://www.nesfircroft.com/job/geologist-smp-with-saudi-aramco/,nesfircroft,Oil & Gas,Contract,Saudi Arabia,2026-08-21 09:03:53,
48,Firefighter,ADNOC,"Abu Dhabi, United Arab Emirates",United Arab Emirates,2026-08-17,https://jobs.adnoc.ae/us/en/job/AGLAGPAE30883EXTERNALENUS/firefighter,adnoc,"Health, Safety & Environment",External,United Arab Emirates,2026-08-21 09:38:29,
48,"Senior Specialist, Financial Communications",ADNOC,"Abu Dhabi, United Arab Emirates",United Arab Emirates,2026-08-17,https://jobs.adnoc.ae/us/en/job/AGLAGPAE32676EXTERNALENUS/senior-specialist-financial-communications,adnoc,Other,External,United Arab Emirates,2026-08-21 09:38:29,
48,Associate General Counsel (Corporate),ADNOC,"Abu Dhabi, United Arab Emirates",United Arab Emirates,2026-08-17,https://jobs.adnoc.ae/us/en/job/AGLAGPAE32650EXTERNALENUS/associate-general-counsel-corporate,adnoc,"Legal, Compliance & Audit",External,United Arab Emirates,2026-08-21 09:38:29,
48,"Specialist, Digital Channels & Communities",ADNOC,"Abu Dhabi, United Arab Emirates",United Arab Emirates,2026-08-17,https://jobs.adnoc.ae/us/en/job/AGLAGPAE32674EXTERNALENUS/specialist-digital-channels-communities,adnoc,Marketing & Communication,External,United Arab Emirates,2026-08-21 09:38:29,
48,"Senior Operator, Logging Services",ADNOC,"Abu Dhabi, United Arab Emirates",United Arab Emirates,2026-08-17,https://jobs.adnoc.ae/us/en/job/AGLAGPAE32669EXTERNALENUS/senior-operator-logging-services,adnoc,Other,External,United Arab Emirates,2026-08-21 09:38:29,
48,F&B Product Development Chef,ADNOC,"Abu Dhabi, United Arab Emirates",United Arab Emirates,2026-08-17,https://jobs.adnoc.ae/us/en/job/AGLAGPAE32375EXTERNALENUS/f-b-product-development-chef,adnoc,Other,External,United Arab Emirates,2026-08-21 09:38:29,
48,Finanical Account,Kintec Global,Middle East,Qatar,2026-08-16,https://www.kintecglobal.com/job/finanical-account/,kintec,,,Qatar,2026-08-21 08:57:56,
48,Materials Lead,Kintec Global,Middle East,Qatar,2026-08-16,https://www.kintecglobal.com/job/materials-lead-5315/,kintec,,,Qatar,2026-08-21 08:57:56,
48,Senior Coaching Tool Pusher,Eni,"Cairo, Egypt",Egypt,2026-08-14,https://fa-evkm-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1004/job/33483,eni,,,Egypt,2026-08-21 07:51:03,
48,PMC Site Coordinator,Wood,"Abu Dhabi, United Arab Emirates",United Arab Emirates,2026-08-14,https://ehif.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/31584,wood,,,United Arab Emirates,2026-08-21 07:51:25,
48,PMC Safety Officer (Road Safety),Wood,United Arab Emirates,United Arab Emirates,2026-08-12,https://ehif.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/31507,wood,,,"United Arab Emirates, safety",2026-08-21 07:51:25,
48,Senior Petrophysicist,ADNOC,"Abu Dhabi, United Arab Emirates",United Arab Emirates,2026-08-12,https://jobs.adnoc.ae/us/en/job/AGLAGPAE32568EXTERNALENUS/senior-petrophysicist,adnoc,"Projects, Engineering & Operations",External,"United Arab Emirates, wells",2026-08-21 09:38:29,
48,Heavy Truck Driver,KBR,"Al-Jubail, Eastern Region, Saudi Arabia",Saudi Arabia,2026-08-09,https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Al-Jubail-Saudi-Arabia/Heavy-Truck-Driver_R2127847/apply,kbr,Logistics & Government Services,Full time,"Saudi Arabia, safety",2026-08-21 09:42:17,
48,Engineering Lead (Electrical - Power Supply),Kintec Global,Middle East,Qatar,2026-08-09,https://www.kintecglobal.com/job/engineering-lead-electrical---power-supply-5253/,kintec,,,"Qatar, electrical",2026-08-22 05:12:15,
48,Testing - Commissioning Engineer- Electrical,Kintec Global,Middle East,,2026-08-06,https://www.kintecglobal.com/job/testing---commissioning-engineer--electrical/,kintec,,,"GCC, offshore, commissioning, electrical, engineer, rotational",2026-08-22 05:12:15,rotational
48,Lifting Supervisor,Wood,"Abu Dhabi, United Arab Emirates",United Arab Emirates,2026-08-05,https://ehif.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/30838,wood,,,"United Arab Emirates, supervisor",2026-08-21 07:51:25,
48,Risk-Based Inspection (RBI) SME,Wood,"Sohar, Oman",Oman,2026-08-03,https://ehif.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/30944,wood,,,"Oman, inspection",2026-08-21 07:51:25,
48,Construction Manager - Shutdown,Wood,"Abu Dhabi, United Arab Emirates",United Arab Emirates,2026-07-28,https://ehif.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/31203,wood,,,"United Arab Emirates, shutdown, manager",2026-08-21 07:51:25,
48,Safety Officer,KBR,"Rabigh, Makkah, Saudi Arabia",Saudi Arabia,2026-07-26,https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Saudi-Arabia-Rabigh/Safety-Officer_R2126592-1/apply,kbr,Support Services,Full time,"Saudi Arabia, safety, maintenance",2026-08-21 09:42:17,
48,Process Engineer,Kintec Global,Middle East,Qatar,2026-07-26,https://www.kintecglobal.com/job/process-engineer-5122/,kintec,,,"Qatar, process engineer, engineer",2026-08-22 05:12:15,
